date,description,category,amount
2026-01-01,Rent,housing,-1100.0
2026-01-02,Amex Gold payment,debt,-130.0
2026-01-02,Lidl,groceries,-24.28
2026-01-03,Electric & Gas,utilities,-95.0
2026-01-03,Rail Ticket,transport,-50.35
2026-01-04,Spotify,subscription,-10.99
2026-01-04,Tesco,groceries,-57.56
2026-01-05,Netflix,subscription,-13.99
2026-01-05,Deliveroo,dining,-11.88
2026-01-07,Mobile,subscription,-25.0
2026-01-07,Broadband,subscription,-45.0
2026-01-08,Gym,subscription,-39.0
2026-01-08,Personal Loan payment,debt,-150.0
2026-01-08,Dunnes,groceries,-65.97
2026-01-10,Tesco,groceries,-72.23
2026-01-10,Pizza Place,dining,-13.82
2026-01-13,Pizza Place,dining,-35.27
2026-01-14,Visa Classic payment,debt,-60.0
2026-01-15,Dunnes,groceries,-32.77
2026-01-18,Dunnes,groceries,-58.34
2026-01-19,Sushi Bar,dining,-12.87
2026-01-19,Rail Ticket,transport,-29.0
2026-01-20,Car Loan payment,debt,-245.0
2026-01-20,Fuel Station,transport,-23.15
2026-01-25,ACME Payroll,income,2900.0
2026-01-25,Dunnes,groceries,-24.87
2026-01-26,SuperValu,groceries,-71.99
2026-01-27,Sushi Bar,dining,-10.35
2026-02-01,Rent,housing,-1100.0
2026-02-02,Amex Gold payment,debt,-130.0
2026-02-03,Electric & Gas,utilities,-95.0
2026-02-04,Fuel Station,transport,-55.84
2026-02-05,Netflix,subscription,-13.99
2026-02-05,Gym,subscription,-39.0
2026-02-06,Local Cafe,dining,-17.21
2026-02-06,Taxi,transport,-48.39
2026-02-07,Spotify,subscription,-10.99
2026-02-08,Broadband,subscription,-45.0
2026-02-08,Personal Loan payment,debt,-150.0
2026-02-09,Tesco,groceries,-63.87
2026-02-09,Aldi,groceries,-73.06
2026-02-10,Mobile,subscription,-25.0
2026-02-13,Aldi,groceries,-41.8
2026-02-13,Local Cafe,dining,-15.8
2026-02-14,Visa Classic payment,debt,-60.0
2026-02-14,Dunnes,groceries,-36.09
2026-02-14,Lidl,groceries,-35.94
2026-02-14,Sushi Bar,dining,-36.43
2026-02-20,Car Loan payment,debt,-245.0
2026-02-21,Dunnes,groceries,-60.54
2026-02-21,Taxi,transport,-15.68
2026-02-21,Rail Ticket,transport,-69.78
2026-02-22,Lidl,groceries,-73.89
2026-02-24,Tesco,groceries,-80.76
2026-02-24,Sushi Bar,dining,-18.76
2026-02-25,ACME Payroll,income,2900.0
2026-02-25,SuperValu,groceries,-34.4
2026-02-25,Pizza Place,dining,-26.4
2026-02-25,Sushi Bar,dining,-27.12
2026-03-01,Rent,housing,-1100.0
2026-03-02,Amex Gold payment,debt,-130.0
2026-03-02,SuperValu,groceries,-58.13
2026-03-02,Aldi,groceries,-25.5
2026-03-03,Electric & Gas,utilities,-95.0
2026-03-04,Spotify,subscription,-10.99
2026-03-05,Gym,subscription,-39.0
2026-03-05,Aldi,groceries,-76.32
2026-03-06,Lidl,groceries,-43.05
2026-03-06,Local Cafe,dining,-29.45
2026-03-07,Aldi,groceries,-48.4
2026-03-08,Broadband,subscription,-45.0
2026-03-08,Personal Loan payment,debt,-150.0
2026-03-08,Bus Top-up,transport,-65.88
2026-03-12,Netflix,subscription,-13.99
2026-03-12,Mobile,subscription,-25.0
2026-03-12,SuperValu,groceries,-25.47
2026-03-14,Visa Classic payment,debt,-60.0
2026-03-16,Taxi,transport,-64.18
2026-03-18,Dunnes,groceries,-69.05
2026-03-18,Taxi,transport,-62.6
2026-03-19,Dunnes,groceries,-81.88
2026-03-20,Car Loan payment,debt,-245.0
2026-03-20,Deliveroo,dining,-38.36
2026-03-22,Lidl,groceries,-52.01
2026-03-24,Rail Ticket,transport,-30.08
2026-03-25,ACME Payroll,income,2900.0
2026-03-25,Deliveroo,dining,-24.07
2026-03-26,Local Cafe,dining,-25.51
2026-03-27,Tesco,groceries,-38.6
2026-04-01,Rent,housing,-1100.0
2026-04-02,Amex Gold payment,debt,-130.0
2026-04-03,Electric & Gas,utilities,-95.0
2026-04-03,Pizza Place,dining,-21.48
2026-04-05,Netflix,subscription,-13.99
2026-04-05,Mobile,subscription,-25.0
2026-04-06,Rail Ticket,transport,-36.47
2026-04-07,Spotify,subscription,-10.99
2026-04-07,Gym,subscription,-39.0
2026-04-08,Personal Loan payment,debt,-150.0
2026-04-09,Broadband,subscription,-45.0
2026-04-09,Tesco,groceries,-18.48
2026-04-09,Tesco,groceries,-22.52
2026-04-09,Taxi,transport,-23.11
2026-04-10,Lidl,groceries,-62.82
2026-04-12,Lidl,groceries,-22.75
2026-04-14,Visa Classic payment,debt,-60.0
2026-04-15,Deliveroo,dining,-23.48
2026-04-16,Fuel Station,transport,-26.49
2026-04-19,Dunnes,groceries,-26.86
2026-04-20,Car Loan payment,debt,-245.0
2026-04-20,Dunnes,groceries,-55.11
2026-04-20,SuperValu,groceries,-49.67
2026-04-23,Sushi Bar,dining,-22.36
2026-04-23,Deliveroo,dining,-29.26
2026-04-25,ACME Payroll,income,2900.0
2026-04-27,Tesco,groceries,-45.27
